id,title,genres,overview,cast,director,popularity,release_date,vote_average
4314,Minions,Family Animation Adventure Comedy,"Minions Stuart, Kevin and Bob are recruited by Scarlet Overkill, a super-villain who, alongside her inventor husband Herb, hatches a plot to take over the world.",Sandra Bullock Jon Hamm Michael Keaton Allison Janney Steve Coogan,Kyle Balda,875.581305,17-06-2015,6.4
4157,Interstellar,Adventure Drama Science Fiction,Interstellar chronicles the adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.,Matthew McConaughey Jessica Chastain Anne Hathaway Michael Caine Casey Affleck,Christopher Nolan,724.247784,05-11-2014,8.1
4579,Deadpool,Action Adventure Comedy,"Deadpool tells the origin story of former Special Forces operative turned mercenary Wade Wilson, who after being subjected to a rogue experiment that leaves him with accelerated healing powers, adopts the alter ego Deadpool. Armed with his new abilities and a dark, twisted sense of humor, Deadpool hunts down the man who nearly destroyed his life.",Ryan Reynolds Morena Baccarin Ed Skrein T.J. Miller Gina Carano,Tim Miller,514.569956,09-02-2016,7.4
4044,Guardians of the Galaxy,Action Science Fiction Adventure,"Light years from Earth, 26 years after being abducted, Peter Quill finds himself the prime target of a manhunt after discovering an orb wanted by Ronan the Accuser.",Chris Pratt Zoe Saldana Dave Bautista Vin Diesel Bradley Cooper,James Gunn,481.098624,30-07-2014,7.9
3790,Mad Max: Fury Road,Action Adventure Science Fiction Thriller,"An apocalyptic story set in the furthest reaches of our planet, in a stark desert landscape where humanity is broken, and most everyone is crazed fighting for the necessities of life. Within this world exist two rebels on the run who just might be able to restore order. There's Max, a man of action and a man of few words, who seeks peace of mind following the loss of his wife and child in the aftermath of the chaos. And Furiosa, a woman of action and a woman who believes her path to survival may be achieved if she can make it across the desert back to her childhood homeland.",Tom Hardy Charlize Theron Nicholas Hoult Hugh Keays-Byrne Josh Helman,George Miller,434.278564,13-05-2015,7.2
4095,Jurassic World,Action Adventure Science Fiction Thriller,"Twenty-two years after the events of Jurassic Park, Isla Nublar now features a fully functioning dinosaur theme park, Jurassic World, as originally envisioned by John Hammond.",Chris Pratt Bryce Dallas Howard Irrfan Khan Vincent D'Onofrio Nick Robinson,,418.708552,09-06-2015,6.5
10,Pirates of the Caribbean: The Curse of the Black Pearl,Adventure Fantasy Action,"Jack Sparrow, a freewheeling 17th-century pirate who roams the Caribbean Sea, butts heads with a rival pirate bent on pillaging the village of Port Royal. When the governor's daughter is kidnapped, Sparrow decides to help the girl's love save her. But their seafaring mission is hardly simple.",Johnny Depp Geoffrey Rush Orlando Bloom Keira Knightley Jack Davenport,Gore Verbinski,271.972889,09-07-2003,7.5
4049,Dawn of the Planet of the Apes,Science Fiction Action Drama Thriller,"A group of scientists in San Francisco struggle to stay alive in the aftermath of a plague that is wiping out humanity, while Caesar tries to maintain dominance over his community of intelligent apes.",Andy Serkis Jason Clarke Gary Oldman Keri Russell Toby Kebbell,Matt Reeves,243.791743,26-06-2014,7.3
4080,The Hunger Games: Mockingjay - Part 1,Science Fiction Adventure Thriller,Katniss Everdeen reluctantly becomes the symbol of a mass rebellion against the autocratic Capitol.,Jennifer Lawrence Josh Hutcherson Liam Hemsworth Woody Harrelson Donald Sutherland,Francis Lawrence,206.227151,18-11-2014,6.6
4217,Big Hero 6,Adventure Family Animation Action Comedy,"The special bond that develops between plus-sized inflatable robot Baymax, and prodigy Hiro Hamada, who team up with a group of friends to form a band of high-tech heroes.",Scott Adsit Ryan Potter Daniel Henney T.J. Miller Jamie Chung,Chris Williams,203.73459,24-10-2014,7.8
3910,Terminator Genisys,Science Fiction Action Thriller Adventure,"The year is 2029. John Connor, leader of the resistance continues the war against the machines. At the Los Angeles offensive, John's fears of the unknown future begin to emerge when TECOM spies reveal a new plot by SkyNet that will attack him from both fronts; past and future, and will ultimately change warfare forever.",Arnold Schwarzenegger Jason Clarke Emilia Clarke Jai Courtney J.K. Simmons,Alan Taylor,202.042635,23-06-2015,5.8
4505,Captain America: Civil War,Adventure Action Science Fiction,"Following the events of Age of Ultron, the collective governments of the world pass an act designed to regulate all superhuman activity. This polarizes opinion amongst the Avengers, causing two factions to side with Iron Man or Captain America, which causes an epic battle between former allies.",Chris Evans Robert Downey Jr. Scarlett Johansson Sebastian Stan Anthony Mackie,Anthony Russo,198.372395,27-04-2016,7.1
4411,Whiplash,Drama,"Under the direction of a ruthless instructor, a talented young drummer begins to pursue perfection at any cost, even his humanity.",Miles Teller J.K. Simmons Melissa Benoist Austin Stowell Jayson Blair,Damien Chazelle,192.528841,10-10-2014,8.3
69,The Dark Knight,Drama Action Crime Thriller,"Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.",Christian Bale Heath Ledger Aaron Eckhart Michael Caine Maggie Gyllenhaal,Christopher Nolan,187.322927,16-07-2008,8.2
4550,The Martian,Drama Adventure Science Fiction,"During a manned mission to Mars, Astronaut Mark Watney is presumed dead after a fierce storm and left behind by his crew. But Watney has survived and finds himself stranded and alone on the hostile planet. With only meager supplies, he must draw upon his ingenuity, wit and spirit to subsist and find a way to signal to Earth that he is alive.",Matt Damon Jessica Chastain Kristen Wiig Jeff Daniels Michael Pe\u00f1a,Ridley Scott,167.93287,30-09-2015,7.6
2945,Inception,Action Thriller Science Fiction Mystery Adventure,"Cobb, a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible: ""inception"", the implantation of another person's idea into a target's subconscious.",Leonardo DiCaprio Joseph Gordon-Levitt Ellen Page Tom Hardy Ken Watanabe,Christopher Nolan,167.58371,14-07-2010,8.1
4012,Frozen,Animation Adventure Family,"Young princess Anna of Arendelle dreams about finding true love at her sister Elsa’s coronation. Fate takes her on a dangerous journey in an attempt to end the eternal winter that has fallen over the kingdom. She's accompanied by ice delivery man Kristoff, his reindeer Sven, and snowman Olaf. On an adventure where she will find out what friendship, courage, family, and true love really means.",Kristen Bell Idina Menzel Jonathan Groff Josh Gad Santino Fontana,Chris Buck,165.125366,27-11-2013,7.3
4305,Batman v Superman: Dawn of Justice,Action Adventure Fantasy,"Fearing the actions of a god-like Super Hero left unchecked, Gotham City’s own formidable, forceful vigilante takes on Metropolis’s most revered, modern-day savior, while the world wrestles with what sort of hero it really needs. And with Batman and Superman at war with one another, a new threat quickly arises, putting mankind in greater danger than it’s ever known before.",Ben Affleck Henry Cavill Gal Gadot Amy Adams Jesse Eisenberg,Zack Snyder,155.790452,23-03-2016,5.7
2692,Avatar,Action Adventure Fantasy Science Fiction,"In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.",Sam Worthington Zoe Saldana Sigourney Weaver Stephen Lang Michelle Rodriguez,James Cameron,150.437577,10-12-2009,7.2
230,Fight Club,Drama,"A ticking-time-bomb insomniac and a slippery soap salesman channel primal male aggression into a shocking new form of therapy. Their concept catches on, with underground ""fight clubs"" forming in every town, until an eccentric gets in the way and ignites an out-of-control spiral toward oblivion.",Edward Norton Brad Pitt Meat Loaf Jared Leto Helena Bonham Carter,David Fincher,146.757391,15-10-1999,8.3
18,Pirates of the Caribbean: Dead Man's Chest,Adventure Fantasy Action,"Captain Jack Sparrow works his way out of a blood debt with the ghostly Davey Jones, he also attempts to avoid eternal damnation.",Johnny Depp Orlando Bloom Keira Knightley Stellan Skarsg\u00e5rd Bill Nighy,Gore Verbinski,145.847379,20-06-2006,7.0
4292,The Imitation Game,History Drama Thriller War,"Based on the real life story of legendary cryptanalyst Alan Turing, the film portrays the nail-biting race against time by Turing and his brilliant team of code-breakers at Britain's top-secret Government Code and Cypher School at Bletchley Park, during the darkest days of World War II.",Benedict Cumberbatch Keira Knightley Matthew Goode Rory Kinnear Allen Leech,Morten Tyldum,145.364591,14-11-2014,8.0
